,Name,Address,Boundary,City,ES_ZONENUM,IL_HOUSE,Match_addr,NetLabel1,Programs,Ref_ID,School_ID,Track,Type,User_fld,Y,ZIP,Adjusted_SU,Class,COLO,COMMAREA,ES_ZONENM,Governance,Grades,Label_Case,NetLabel2,Network,Status,WARD,Class2,Day20Count,GeoNetwork,Long_,Marker,Match_type,Open_Status,School_Typ,Short_Name,Side,UnitName,Addr_type,ARC_Street,ARC_ZIP,BndGrShort,BoundaryGr,Class3,Grade_Cat,Grades_Short,IL_SENATE,Lat,OBJECTID_1,ORACLE_ID,Pct_along,Phone,Score,Short_Desc,Status_2024,Typenum,US_CONGR,X,fillColor,fillOpacity,POINT_X,POINT_Y,coordinates,schoolHours,afterSchoolHours,earliestDropOffTime,phone,gradesOffered,websiteURL,isTitle1Eligible,studentCount,studentCountLowIncome,studentCountBlack,studentCountHispanic,studentCountWhite,contact_url,is_edlio,is_educational_networks,contact_emails
10,MORGAN PARK HS,1744 W PRYOR AVE,Attendance Area School,"Chicago, IL",15,35,"1744 W PRYOR AVE, 60643",Network,CTE_CCA||IB||Selective_Enrollment_AC||,38162,609725,Standard,High School,0,1831076.097062,60643,0.76,Attendance Area School,0,MORGAN PARK,Far Southwest Side,District,"7, 8, 9, 10, 11, 12",Morgan Park HS,Network HS,Network 16,M,19,Academic Center,1163,16,-87.665658,red_blank,A,OPEN,Traditional,MORGAN PARK HS,R,Morgan Park High School,Address,1744 W PRYOR AVE,60643,9-12,"9, 10, 11, 12",Attendance Area School/Academic Center,HS,7-12,18,41.692035,11,46251,41.67,(773)535-2550,100,Morgan Park HS,Efficient,3,1,1166605.693838,#000000,1,,,"[-87.665663, 41.692043]",7:30 AM - 2:45 PM,,7:00 AM,7735352550,"7,8,9,10,11,12",https://morganparkcps.org,True,1210.0,908.0,1158.0,42.0,5.0,https://morganparkcps.org/apps/contact,True,False,
11,PHILLIPS HS,244 E PERSHING RD,Attendance Area School,"Chicago, IL",11,5,"244 E PERSHING RD, 60653",Network,CTE_CCA||,41305,609727,Standard,High School,0,1879219.723544,60653,0.25,Attendance Area School,0,DOUGLAS,Bronzeville / South Lakefront,District,"9, 10, 11, 12",Phillips HS,Network HS,Network 17,M,3,,385,17,-87.619796,red_blank,A,OPEN,Traditional,PHILLIPS HS,L,Wendell Phillips Academy High School,Address,244 E PERSHING RD,60653,9-12,"9, 10, 11, 12",Attendance Area School,HS,9-12,3,41.82388,12,46261,22.22,(773)535-1603,100,Phillips Acad,Underutilized,3,1,1178732.897931,#000000,1,,,"[-87.619802, 41.823888]",MON-FRI: 8:00 AM-3:15 PM,3:00PM-6:30PM,7:30 AM,7735351603,"9,10,11,12",https://phillipshs.org,True,393.0,330.0,360.0,17.0,1.0,https://phillipshs.org/apps/contact,False,True,
12,DAWES,3810 W 81ST PL,Attendance Area School,"Chicago, IL",12,32,"3810 W 81ST PL, 60652",Network,,9458,609879,Standard,Elementary School,0,1850299.05107,60652,0.84,Attendance Area School,0,ASHBURN,Greater Midway,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Dawes,Network ES,Network 10,M,18,,945,10,-87.717353,blue_blank,A,OPEN,Traditional,DAWES,R,Charles Gates Dawes Elementary School,Address,3810 W 81ST PL,60652,K-8,"K, 1, 2, 3, 4, 5, 6, 7, 8",Attendance Area School,ES,PK-8,16,41.745078,13,22901,17.24,(773)535-2350,100,Dawes ES,Efficient,1,1,1152348.155753,#000000,1,,,"[-87.717359, 41.745086]",08:00 AM-03:00 PM,3:00 PM - 5:30 PM,7:50 AM,7735352350,"PK,K,1,2,3,4,5,6,7,8",https://dawes.cps.edu,True,926.0,789.0,149.0,755.0,15.0,https://dawes.cps.edu/contact.html,False,False,
13,DENEEN,7240 S WABASH AVE,Attendance Area School,"Chicago, IL",14,32,"7240 S WABASH AVE, 60619",Network,,28410,609883,Standard,Elementary School,0,1856841.682014,60619,0.6,Attendance Area School,0,GREATER GRAND CROSSING,Greater Stony Island,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Deneen,Network ES,Network 12,M,6,,464,12,-87.623345,blue_blank,A,OPEN,Traditional,DENEEN,R,Charles S Deneen Elementary School,Address,7240 S WABASH AVE,60619,K-8,"K, 1, 2, 3, 4, 5, 6, 7, 8",Attendance Area School,ES,PK-8,16,41.76249,14,22931,68.97,(773)535-3035,100,Deneen ES,Underutilized,1,1,1177950.525479,#000000,1,,,"[-87.62335, 41.762498]",09:00 AM-04:00 PM,,8:45AM,7735353035,"PK,K,1,2,3,4,5,6,7,8",https://deneen.cps.edu,True,457.0,365.0,433.0,18.0,0.0,https://deneen.cps.edu/apps/contact,False,True,
14,CHICAGO AGRICULTURE HS,3857 W 111TH ST,Citywide,"Chicago, IL",15,35,"3857 W 111TH ST, 60655",ISP,Magnet_HS_Agricultural_Sciences||,42270,609753,Standard,High School,0,1830673.372802,60655,0.75,Citywide,0,MOUNT GREENWOOD,Far Southwest Side,District,"9, 10, 11, 12",Chi Ag HS,ISP HS,ISP,M,19,High School Magnet,769,16,-87.71777,red_circle,A,OPEN,Traditional,CHICAGO AGRICULTURE HS,L,Chicago High School for Agricultural Sciences,Address,3857 W 111TH ST,60655,,,High School Magnet,HS,9-12,18,41.691221,15,47091,95,(773)535-2500,100,Chicago Agricultural HS,Efficient,3,1,1152374.8765,#000000,1,,,"[-87.717775, 41.691229]",7:30 AM-3:00 PM,,7:15 AM,7735352500,"9,10,11,12",https://chicagoagr.org,False,765.0,399.0,396.0,183.0,168.0,https://chicagoagr.org/apps/contact,False,True,
15,CHICAGO MILITARY HS,3519 S GILES AVE,Citywide,"Chicago, IL",11,5,"3519 S GILES AVE, 60653",Network,Military Academy||,55149,609754,Standard,High School,0,1881653.385671,60653,0.47,Citywide,0,DOUGLAS,Bronzeville / South Lakefront,District,"9, 10, 11, 12",Chi Military Acad HS,Network HS,Network 17,M,3,,214,17,-87.619216,red_circle,A,OPEN,Traditional,CHICAGO MILITARY HS,L,Chicago Military Academy High School,Address,3519 S GILES AVE,60653,,,Citywide,HS,9-12,3,41.830555,16,70070,26.47,(773)534-9750,100,Chicago Miliray Academy,Underutilized,3,1,1178870.985253,#000000,1,,,"[-87.619221, 41.830563]",7:30 AM-3:01 PM,,6:30 AM,7735349750,"9,10,11,12",https://chicagomilitaryacademy.org,True,200.0,164.0,139.0,55.0,1.0,https://chicagomilitaryacademy.org/apps/contact,False,True,
16,JULIAN HS,10330 S ELIZABETH ST,Attendance Area School,"Chicago, IL",16,27,"10330 S ELIZABETH ST, 60643",Network,CTE_CCA||IB||,45019,609762,Standard,High School,0,1836138.800191,60643,0.34,Attendance Area School,0,WASHINGTON HEIGHTS,Greater Calumet,District,"9, 10, 11, 12",Julian HS,Network HS,Network 16,M,21,,470,16,-87.653749,red_blank,A,OPEN,Traditional,JULIAN HS,R,Percy L Julian High School,Address,10330 S ELIZABETH ST,60643,9-12,"9, 10, 11, 12",Attendance Area School,HS,9-12,14,41.705859,17,46401,51.72,(773)535-5170,100,Julian HS,Underutilized,3,1,1169818.370812,#000000,1,,,"[-87.653755, 41.705867]",8:00AM - 3:15PM,3:15 PM - 6:45 PM,7:00 AM,7735355170,"9,10,11,12",https://pljulianhs.net,True,404.0,321.0,384.0,14.0,1.0,https://pljulianhs.net/apps/contact,False,True,
17,AVALON PARK,8045 S KENWOOD AVE,Attendance Area School,"Chicago, IL",14,33,"8045 S KENWOOD AVE, 60619",Network,Magnet_Cluster_Fine_Performing_Arts||,40908,609786,Standard,Elementary School,0,1851724.507209,60619,0.33,Attendance Area School,0,AVALON PARK,Greater Stony Island,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Avalon Park,Network ES,Network 12,M,8,,189,12,-87.591654,blue_blank,A,OPEN,Traditional,AVALON PARK,L,Avalon Park Elementary School,Address,8045 S KENWOOD AVE,60619,K-8,"K, 1, 2, 3, 4, 5, 6, 7, 8",Attendance Area School,ES,PK-8,17,41.748247,18,22101,75.86,(773)535-6615,100,Avalon Park ES,Underutilized,1,1,1186641.26466,#000000,1,,,"[-87.59166, 41.748255]",07:45 AM-02:45 PM,,,7735356615,"PK,K,1,2,3,4,5,6,7,8",https://avalonparkarts.org/,True,224.0,166.0,208.0,13.0,0.0,https://avalonparkarts.org/apps/contact,False,True,
18,BARNARD,10354 S CHARLES ST,Attendance Area School,"Chicago, IL",15,35,"10354 S CHARLES ST, 60643",Network,Magnet_Cluster_IB||,15720,609788,Standard,Elementary School,0,1835864.263011,60643,0.76,Attendance Area School,0,BEVERLY,Far Southwest Side,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Barnard,Network ES,Network 10,M,19,,245,10,-87.658074,blue_blank,A,OPEN,Traditional,BARNARD,R,Alice L Barnard Computer Math &amp; Science Ctr ES,Address,10354 S CHARLES ST,60643,K-8,"K, 1, 2, 3, 4, 5, 6, 7, 8",Attendance Area School,ES,PK-8,18,41.705131,19,22131,85,(773)535-2625,100,Barnard ES,Efficient,1,1,1168639.448957,#000000,1,,,"[-87.65808, 41.705139]",08:15 AM-03:15 PM,,8:00 AM,7735352625,"PK,K,1,2,3,4,5,6,7,8",https://barnard.cps.edu,True,248.0,172.0,224.0,14.0,7.0,https://barnard.cps.edu/apps/contact,False,True,
19,JOPLIN,7931 S HONORE ST,Attendance Area School,"Chicago, IL",13,31,"7931 S HONORE ST, 60620",Network,,37468,609805,Standard,Elementary School,0,1851949.264633,60620,0.53,Attendance Area School,0,AUBURN GRESHAM,South Side,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Joplin,Network ES,Network 11,M,17,,272,11,-87.669366,blue_blank,A,OPEN,Traditional,JOPLIN,L,Scott Joplin Elementary School,Address,7931 S HONORE ST,60620,K-8,"K, 1, 2, 3, 4, 5, 6, 7, 8",Attendance Area School,ES,PK-8,16,41.749339,20,22281,51.72,(773)535-3425,100,Joplin ES,Underutilized,1,1,1165431.887131,#000000,1,,,"[-87.669371, 41.749347]",08:45 AM-03:45 PM,,,7735353425,"PK,K,1,2,3,4,5,6,7,8",https://scottjoplinschool.org,True,281.0,223.0,236.0,42.0,1.0,https://scottjoplinschool.org/apps/contact,False,True,
20,HAMPTON,3434 W 77TH ST,Attendance Area School,"Chicago, IL",12,32,"3434 W 77TH ST, 60652",Network,Magnet_Cluster_Fine_Performing_Arts||,23093,609807,Standard,Elementary School,0,1853369.399916,60652,0.71,Attendance Area School,0,ASHBURN,Greater Midway,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Hampton,Network ES,Network 10,M,18,,436,10,-87.708731,blue_blank,A,OPEN,Traditional,HAMPTON,R,Lionel Hampton Fine &amp; Performing Arts ES,Address,3434 W 77TH ST,60652,K-8,"K, 1, 2, 3, 4, 5, 6, 7, 8",Attendance Area School,ES,PK-8,16,41.753457,21,32021,7.69,(773)535-4030,100,Hampton ES,Efficient,1,1,1154678.944398,#000000,1,,,"[-87.708737, 41.753465]",08:05 AM-03:05 PM,,,7735354030,"PK,K,1,2,3,4,5,6,7,8",https://hamptoncps.org,True,457.0,376.0,197.0,245.0,5.0,https://hamptoncps.org/apps/contact,False,True,
21,HALEY,11411 S EGGLESTON AVE,Attendance Area School,"Chicago, IL",16,28,"11411 S EGGLESTON AVE, 60628",Network,Magnet_Cluster_Fine_Performing_Arts_World_Language||,39073,609808,Standard,Elementary School,0,1829186.925644,60628,0.58,Attendance Area School,0,ROSELAND,Greater Calumet,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Haley,Network ES,Network 13,M,21,,448,13,-87.633632,blue_blank,A,OPEN,Traditional,HALEY,L,Alex Haley Elementary Academy,Address,11411 S EGGLESTON AVE,60628,K-8,"K, 1, 2, 3, 4, 5, 6, 7, 8",Attendance Area School,ES,PK-8,14,41.68666,22,22301,17.24,(773)535-5340,100,Haley Elem Academy,Underutilized,1,1,1175368.436155,#000000,1,,,"[-87.633638, 41.686668]",08:45 AM-03:45 PM,3:45PM - 5:15PM ,,7735355340,"PK,K,1,2,3,4,5,6,7,8",https://www.alexhaleyacademy.com,True,463.0,369.0,405.0,47.0,8.0,https://www.alexhaleyacademy.com/apps/contact,False,True,
22,BROWNELL,6741 S MICHIGAN AVE,Attendance Area School,"Chicago, IL",14,6,"6741 S MICHIGAN AVE, 60637",Network,,38600,609813,Standard,Elementary School,0,1860172.221613,60637,0.33,Attendance Area School,0,GREATER GRAND CROSSING,Greater Stony Island,District,"PK, K, 1, 2, 3, 4, 5, 6",Brownell,Network ES,Network 12,M,6,,130,12,-87.621746,blue_blank,A,OPEN,Traditional,BROWNELL,L,Charles S Brownell Elementary School,Address,6741 S MICHIGAN AVE,60637,K-6,"K, 1, 2, 3, 4, 5, 6",Attendance Area School,ES,PK-6,3,41.77162,23,22361,68.97,(773)535-3030,100,Brownell ES,Underutilized,1,1,1178359.142772,#000000,1,,,"[-87.621752, 41.771628]",08:45 AM-03:45 PM,,,7735353030,"PK,K,1,2,3,4,5,6",https://brownellcps.org,True,170.0,132.0,152.0,15.0,1.0,https://brownellcps.org/apps/contact,False,True,
23,BOUCHET,7355 S JEFFERY BLVD,Attendance Area School,"Chicago, IL",14,26,"7355 S JEFFERY BLVD, 60649",Network,Magnet_Cluster_IB||,19422,609815,Standard,Elementary School,0,1856353.051758,60649,0.61,Attendance Area School,0,SOUTH SHORE,Greater Stony Island,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Bouchet,Network ES,Network 12,M,7,,646,12,-87.576075,blue_blank,A,OPEN,Traditional,BOUCHET,L,Edward A Bouchet Math &amp; Science Academy ES,Address,7355 S JEFFERY BLVD,60649,K-8,"K, 1, 2, 3, 4, 5, 6, 7, 8",Attendance Area School,ES,PK-8,13,41.760847,24,22371,85.71,(773)535-0501,100,Bouchet ES Academy,Underutilized,1,1,1190852.10007,#000000,1,,,"[-87.576081, 41.760855]",08:45 AM-03:45 PM,,8:30AM,7735350501,"PK,K,1,2,3,4,5,6,7,8",https://bouchet-brynmawr.cps.edu,True,664.0,555.0,616.0,38.0,3.0,https://bouchet-brynmawr.cps.edu/apps/contact,False,True,
24,BURNHAM,9928 S CRANDON AVE,Attendance Area School,"Chicago, IL",14,33,"9928 S CRANDON AVE, 60617",Network,,34272,609821,Standard,Elementary School,0,1839450.373621,60617,0.63,Attendance Area School,0,SOUTH DEERING,Greater Stony Island,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Burnham,Network ES,Network 13,M,7,,418,13,-87.567131,blue_blank,A,OPEN,Traditional,BURNHAM,R,Burnham Elementary Inclusive Academy,Address,9928 S CRANDON AVE,60617,K-8,"K, 1, 2, 3, 4, 5, 6, 7, 8",Attendance Area School,ES,PK-8,17,41.714402,25,22431,50,(773)535-6530,100,Burnham ES Academy,Underutilized,1,1,1193443.049941,#000000,1,,,"[-87.567136, 41.71441]",08:45 AM-03:45 PM,3:45 PM-6:00 PM,8:30 AM,7735356530,"PK,K,1,2,3,4,5,6,7,8",https://cps.edu/burnham,True,382.0,299.0,358.0,18.0,1.0,https://cps.edu/burnham/apps/contact,False,False,someone@example.com|address@example.com
25,BURNSIDE,650 E 91ST PL,Citywide,"Chicago, IL",14,34,"650 E 91ST PL, 60619",Network,Magnet_Elem_Scholastic_Academy||,45158,609827,Standard,Elementary School,0,1844485.107318,60619,0.37,Citywide,0,CHATHAM,Greater Stony Island,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Burnside,Network ES,Network 12,M,8,Elementary Magnet,287,12,-87.607435,blue_circle,A,OPEN,Traditional,BURNSIDE,L,Burnside Elementary Scholastic Academy,Address,650 E 91ST PL,60619,,,Elementary Magnet,ES,PK-8,17,41.728481,26,29021,86.21,(773)535-3300,100,Burnside Elem Academy,Underutilized,1,1,1182395.494936,#000000,1,,,"[-87.607441, 41.728488]",07:30 AM-02:30 PM,2:30 PM-3:30PM,,7735353300,"PK,K,1,2,3,4,5,6,7,8",https://burnsidescholasticacademy.org,True,265.0,203.0,257.0,7.0,0.0,https://burnsidescholasticacademy.org/apps/contact,False,True,
26,DAISY BATES,8546 S CREGIER AVE,Attendance Area School,"Chicago, IL",14,33,"8546 S CREGIER AVE, 60617",ISP,,16838,609833,Standard,Elementary School,0,1848463.35297,60617,0.33,Attendance Area School,0,AVALON PARK,Greater Stony Island,District,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Daisy Bates Academy of Social Justice,ISP ES,ISP,M,8,,217,12,-87.580729,blue_blank,A,OPEN,Traditional,DAISY BATES,R,Daisy Bates Academy of Social Justice,Address,8546 S CREGIER AVE,60617,K-8,"K, 1, 2, 3, 4, 5, 6, 7, 8",Attendance Area School,ES,PK-8,17,41.739226,27,22511,53.85,(773)535-6300,100,Daisy Bates,Underutilized,1,1,1189651.213692,#000000,1,,,"[-87.580735, 41.739234]",07:45 AM-02:45 PM,,,7735356300,"PK,K,1,2,3,4,5,6,7,8",https://caldwell-academy.org,True,231.0,160.0,214.0,12.0,0.0,,,,
