"Elementary School","Address","Neighborhood","School Hours","Earliest Drop Off Time","After School Hours","Grades","Phone","Website","Contact Page","Provides Before Care","Provides After Care","Before Care Start Time","Before Care Provider","Before Care Info","After Care End Time","After Care Provider","After Care Info","lat","lon"
"BEASLEY","5255 S STATE ST","Washington Park","8:45 AM-3:45 PM","","","PK-8","(773) 535-1230","https://beasleyac.org","https://beasleyac.org/apps/contact","","","","","","","","","41.798473"," -87.625697"
"BEAUBIEN","5025 N LARAMIE AVE","Jefferson Park","07:45 AM-02:45 PM","7:30","","PK-8","(773) 534-3500","http://www.beaubienelementary.org","http://www.beaubienelementary.org/apps/contact","","True","","","","6:00 pm","Right At School","""The Right Club is a childcare program which operates on the school premises from dismissal until as late as 6:00 pm."" <a href=""https://www.beaubienelementary.org/apps/pages/index.jsp?uREC_ID=558233&type=d"">[1]</a>
""The Right Club is a childcare program which operates on the school premises from dismissal until as late as 6:00 pm."" <a href=""https://www.beaubienelementary.org/apps/pages/index.jsp?uREC_ID=558167&type=d"">[2]</a>
","41.972402"," -87.757571"
"BEETHOVEN","25 W 47TH ST","Grand Boulevard","8:45 AM - 3:45 PM","8:35 AM","3:45 PM -5:30 PM","PK-8","(773) 535-1480","https://www.beethovenelementarycps.org/","https://www.beethovenelementarycps.org/apps/contact","","True","","","","","","""We provide ongoing after school tutoring, enrichment and sports programming for our scholars."" <a href=""https://www.beethovenelementarycps.org/apps/pages/index.jsp?uREC_ID=370719&type=d"">[1]</a>
","41.809143"," -87.627143"
"BEIDLER","3151 W WALNUT ST","East Garfield Park","08:45 AM-03:45 PM","8:30 AM","4:00 PM - 6:00 PM","PK-8","(773) 534-6811","https://www.beidlerschool.org/","https://www.beidlerschool.org/apps/contact","","","","","","","","","41.885329"," -87.705861"
"BELDING","4257 N TRIPP AVE","Irving Park","7:45 AM-2:45 PM","7:30 AM","","PK-8","(773) 534-3590","https://beldingelementary.com","https://beldingelementary.com/apps/contact","","True","","","","","Carlson Community Services/ Magic After School Place","""Magic After School Place offers affordable after care for neighborhood families."" <a href=""https://www.beldingelementary.com/apps/pages/index.jsp?uREC_ID=436872&type=d"">[1]</a>
","41.958946"," -87.734026"
"BELL","3730 N OAKLEY AVE","North Center","08:05 AM-03:05 PM","07:35 AM","3:05 PM - 6:00 PM","PK-8","(773) 534-5150","http://bell.cps.edu","","","True","","","","3:30 p.m.","21st Century Kids LLC","""21st Century Kids LLC provides aftercare and after-school services at Bell through its AfterCare Plus service."" <a href=""http://bell.cps.edu/after-care-programming.html"">[1]</a>
""Parents picking up students in the 21st Century Kids program are asked to use the Main entrance (Door #1) for pick-up."" <a href=""http://bell.cps.edu/arrival-and-dismissal.html"">[2]</a>
","41.949538"," -87.686024"
"BELMONT-CRAGIN","6112 W FULLERTON AVE","Belmont Cragin","8:00 AM-3:00 PM","7:40AM (K-8)","3:15PM-4:15PM","PK-8","(773) 534-2900","https://belmontcragin.cps.edu","https://belmontcragin.cps.edu/apps/contact","True","True","7:40 AM","","""Earliest Drop Off | 7:40 AM | — | —"" <a href=""https://www.belmontcragin.cps.edu/apps/bell_schedules/"">[1]</a>
","4:15 PM","","""After School Hours | 3:15 PM | 4:15 PM | 60 min"" <a href=""https://www.belmontcragin.cps.edu/apps/bell_schedules/"">[1]</a>
","41.923816"," -87.778689"
"BENNETT","10115 S PRAIRIE AVE","Roseland","8:45 AM-3:45 PM","8:30 AM","3:45-5:15 PM","PK-8","(773) 535-5460","https://bennettschool.org","","","","","","","","","","41.710443"," -87.617396"
"BLACK","9101 S EUCLID AVE","Calumet Heights","07:30 AM-02:30 PM","","","K-8","(773) 535-6390","https://blackmagnet.org","https://blackmagnet.org/apps/contact","","","","","","","","","41.7297"," -87.576649"
"BLAINE","1420 W GRACE ST","Lake View","08:00 AM-03:00 PM","7:30 AM","","PK-8","(773) 534-5750","https://blaine.cps.edu","https://blaine.cps.edu/apps/contact","","True","","","","6pm","(TBAS) Tuition Based After School","""Students must be picked up by either 4:30pm (if registered for half-time) OR 6pm (if registered for full-time)."" <a href=""https://www.blaine.cps.edu/apps/pages/index.jsp?uREC_ID=432618&type=d"">[1]</a>
","41.950788"," -87.664974"
"BLAIR","6751 W 63RD PL","Clearing","7:30 AM-2:30 PM","7:15AM","NONE","PK-1","(773) 535-2076","https://blair.cps.edu/","https://blair.cps.edu/contact.html","","","","","","","","","41.776564"," -87.79061"
"BOND","7050 S MAY ST","Englewood","9:00 AM-4:00 PM","8:45 AM","4:00 PM - 6:00 PM","PK-8","(773) 535-3480","https://bondelementary.org","https://bondelementary.org/apps/contact","","True","","","","","","""Kindergarten After School Enrichment"" <a href=""https://www.bondelementary.org/apps/news/show_news.jsp?REC_ID=835410&id=0"">[1]</a>
","41.765368"," -87.653024"
"BOUCHET","7355 S JEFFERY BLVD","South Shore","08:45 AM-03:45 PM","8:30AM","","PK-8","(773) 535-0501","https://bouchet-brynmawr.cps.edu","https://bouchet-brynmawr.cps.edu/apps/contact","","","","","","","","","41.760855"," -87.576081"
"BRADWELL","7736 S BURNHAM AVE","South Shore","08:45 AM-03:45 PM","","3:45PM-5:30PM","PK-8","(773) 535-6600","https://bradwellbruins.org","https://bradwellbruins.org/apps/contact","","","","","","","","","41.754373"," -87.557148"
"BRENNEMANN","4251 N CLARENDON AVE","Uptown","09:00 AM-04:00 PM","","","PK-8","(773) 534-5766","https://www.josephbrennemann.org/","https://www.josephbrennemann.org/apps/contact","","","","","","","","","41.959992"," -87.649755"
"BRENTANO","2723 N FAIRFIELD AVE","Logan Square","08:45 AM - 03:45 PM","","BEFORE: 7:00 - 8:45 AM / AFTER: 3:45 - 6:00 PM ","PK-8","(773) 534-4100","https://brentanomathandscienceacademy.org","https://brentanomathandscienceacademy.org/contact/","True","True","7:00 to 8:45 am","Brentano","""**Before-school care**: 7:00 to 8:45 am, Monday through Friday."" <a href=""https://brentanomathandscienceacademy.org/after-school-care"">[1]</a>
","6:00 pm","Brentano","""**After-school care**: 3:45 to 6:00 pm, Monday through Friday."" <a href=""https://brentanomathandscienceacademy.org/after-school-care"">[1]</a>
","41.930974"," -87.6963"
"BRIDGE","3800 N NEW ENGLAND AVE","Dunning","08:00 AM-3:00 PM(PK-4),7:45 AM-2:45 PM(5-8)","7:30 AM (K-8)","3:00 PM-4:00 PM","PK-8","(773) 534-3718","https://bridge.cps.edu","https://bridge.cps.edu/apps/contact","","","","","","","","","41.949122"," -87.798675"
"BRIGHT","10740 S CALHOUN AVE","South Deering","07:45 AM-02:45 PM","","2:45PM-5:00PM","PK-8","(773) 535-6215","https://orvillebright.org","https://orvillebright.org/apps/contact","","","","","","","","","41.699734"," -87.56209"
"BRIGHTON PARK","3825 S WASHTENAW AVE","Brighton Park","8:00 AM-3:00 PM","7:45 AM","3:00 PM - 5:30 PM","PK-8","(773) 535-7237","http://brightonpark.cps.edu/","","","True","","","","","","""[After School Programs](/after-school-programs.html)"" <a href=""http://brightonpark.cps.edu/mr-rolando-vazquezstaff-profiles.html"">[1]</a>
","41.823908"," -87.692083"
"BRONZEVILLE CLASSICAL","8 W ROOT ST","Grand Boulevard","7:45 AM - 2:45 PM","7:45 AM","2:45 PM - 6:00 PM","K-8","(773) 535-8085","https://bronzevilleclassical.cps.edu","https://bronzevilleclassical.cps.edu/apps/contact","","True","","","","6:00 p.m.","Something to Build Upon","""STBU is the only program that offers after care Monday - Friday 2:45 p.m. - 6:00 p.m."" <a href=""https://www.bronzevilleclassical.cps.edu/apps/pages/index.jsp?uREC_ID=562353&type=d"">[1]</a>
","41.819257"," -87.626627"
"BROWN R","12607 S UNION AVE","West Pullman","08:45 AM-03:45 PM","8:45","3:45-5:45 PM","PK-8","(773) 535-5385","https://www.brownacademyeagles.org","https://www.brownacademyeagles.org/apps/contact","True","True","","","""Before School, After School, Saturday School"" <a href=""https://www.brownacademyeagles.org/"">[1]</a>
""Before School, After School, Saturday School"" <a href=""https://www.brownacademyeagles.org"">[2]</a>
","","","""Before School, After School, Saturday School"" <a href=""https://www.brownacademyeagles.org/"">[1]</a>
""Before School, After School, Saturday School"" <a href=""https://www.brownacademyeagles.org"">[2]</a>
","41.664881"," -87.638963"
"BROWN W","54 N HERMITAGE AVE","Near West Side","7:30 AM-2:30 PM","7:15 AM","2:45 PM-3:45 PM","PK-8","(773) 534-7250","https://wbrownstem.org","https://wbrownstem.org/apps/contact","","","","","","","","","41.883005"," -87.670688"
"BROWNELL","6741 S MICHIGAN AVE","Greater Grand Crossing","08:45 AM-03:45 PM","","","PK-6","(773) 535-3030","https://brownellcps.org","https://brownellcps.org/apps/contact","","","","","","","","","41.771628"," -87.621752"
"BRUNSON","932 N CENTRAL AVE","Austin","07:45 AM-02:45 PM","7:45 AM","2:45-5:30","PK-8","(773) 534-6025","https://brunsonbulldogs.org","https://brunsonbulldogs.org/apps/contact","","","","","","","","","41.89767"," -87.765611"
"BUDLONG","2701 W FOSTER AVE","Lincoln Square","8:15 AM - 3:15 PM","7:30 AM","3:15 PM - 5:15 PM","PK-8","(773) 534-2591","https://budlong.cps.edu","https://budlong.cps.edu/apps/contact","True","True","7:45 AM","Budlong staff","""Earliest drop Off
7:45 AM
—
—"" <a href=""https://www.budlong.cps.edu/apps/bell_schedules/"">[1]</a>
","6:00 PM","Right at School","""Aftercare is provided through our vendor, Right at School. Aftercare takes place from 3-6pm when school is in session."" <a href=""https://www.budlong.cps.edu/apps/pages/index.jsp?uREC_ID=528228&type=d"">[1]</a>
""After School Hours
3:05 PM
6:00 PM
175 min"" <a href=""https://www.budlong.cps.edu/apps/bell_schedules/"">[2]</a>
","41.975762"," -87.696562"
"BURBANK","2035 N MOBILE AVE","Belmont Cragin","7:30 AM-2:30 PM","7:15 AM","3:00 PM - 4:00 PM","PK-8","(773) 534-3000","https://burbank.cps.edu","https://burbank.cps.edu/apps/contact","","","","","","","","","41.917606"," -87.782705"
"BURKE","5356 S KING DR","Washington Park","07:45 AM-02:45 PM","7:20 AM","2:45 PM - 4:00 PM","PK-8","(773) 535-1325","http://burke.cps.edu","","","","","","","","","","41.796767"," -87.616146"
"BURLEY","1630 W BARRY AVE","Lake View","08:15 AM-03:15 PM","","3:30PM-4:30PM","K-8","(773) 534-5475","http://burley.cps.edu","","True","True","","Lakeview YMCA","""Families who need before and/or after school care may use our partnership program with the Lakeview YMCA."" <a href=""http://burley.cps.edu/faq.html"">[1]</a>
","","Lakeview YMCA","""Families who need before and/or after school care may use our partnership program with the Lakeview YMCA."" <a href=""http://burley.cps.edu/faq.html"">[1]</a>
""YMCA will continue to offer aftercare at Burley."" <a href=""http://burley.cps.edu/uploads/1/0/8/3/10837761/special_meeting_april_sy24_burley_lsc_minutes__2_.pdf"">[2]</a>
","41.937945"," -87.669859"
"BURNHAM","9928 S CRANDON AVE","South Deering","08:45 AM-03:45 PM","8:30 AM","3:45 PM-6:00 PM","PK-8","(773) 535-6530","https://cps.edu/burnham","https://cps.edu/burnham/apps/contact","","","","","","","","","41.71441"," -87.567136"
"BURNSIDE","650 E 91ST PL","Chatham","07:30 AM-02:30 PM","","2:30 PM-3:30PM","PK-8","(773) 535-3300","https://burnsidescholasticacademy.org","https://burnsidescholasticacademy.org/apps/contact","","","","","","","","","41.728488"," -87.607441"
"BURR","1621 W WABANSIA AVE","West Town","08:45 AM-03:45 PM","8:15 AM","","K-8","(773) 534-4090","https://burrschool.org","https://burrschool.org/apps/contact","","","","","","","","","41.912366"," -87.668666"
"BURROUGHS","3542 S WASHTENAW AVE","Brighton Park","08:30 AM-03:30 PM","7:45QAM","3:30-6:00PM","PK-8","(773) 535-7226","http://burroughs.cps.edu","","","True","","","","6:00","Teen REACH","""**Our after school program run from 3:30-6:00 daily.  The program offers a wide varity of activities for all grade levels.  Please contact Ms. Anna for more information**(773) 535-7226."" <a href=""http://burroughs.cps.edu/activities.html"">[1]</a>
","41.828876"," -87.692462"
"BYRNE","5329 S OAK PARK AVE","Garfield Ridge","07:45 AM-02:45 PM","","","K-8","(773) 535-2170","https://byrnecps.org","https://byrnecps.org/apps/contact","","","","","","","","","41.795039"," -87.79155"
"CALMECA","3456 W 38TH ST","Brighton Park","08:15 AM-03:15 PM","","","PK-8","(773) 535-7000","https://www.calmecaacademy.com","https://www.calmecaacademy.com/apps/contact","","","","","","","","","41.824385"," -87.711659"
"CAMERON","1234 N MONTICELLO AVE","Humboldt Park","08:15 AM-03:15 PM","","3:15 PM - 5:00 PM ","PK-8","(773) 534-4290","https://cameronmsa.org/","","","","","","","","","","41.9038"," -87.717932"
"CAMRAS","3000 N MANGO AVE","Belmont Cragin","08:25 AM-03:45 PM","08:20 AM","03:45 PM - 5:00 PM ","PK-8","(773) 534-2960","http://camras.cps.edu/","","","","","","","","","","41.934938"," -87.770133"
"CANTY","3740 N PANAMA AVE","Dunning","MAIN CAMPUS 8:00 AM - 3:00 PM","7:40AM","3:00 PM - 6:00 PM","PK-8","(773) 534-1238","https://www.cantyschool.org","","","True","","","","","Right at School","""Right at School will be the new aftercare provider for Canty"" <a href=""https://www.cantyschool.org/tuition-based-programs.html"">[1]</a>
""Right at School will be the new aftercare provider for Canty"" <a href=""https://www.cantyschool.org/news--announcements.html"">[2]</a>
","41.948015"," -87.829302"
"CARDENAS","2345 S MILLARD AVE","South Lawndale","08:00 AM-03:00 PM","7:45","","PK-8","(773) 534-1465","https://cardenas.cps.edu","https://cardenas.cps.edu/apps/contact","","","","","","","","","41.848496"," -87.716023"
"CARNEGIE","1414 E 61ST PL","Woodlawn","08:45 AM-03:45 PM","8:30 AM","3:45 PM - 5:00 PM","K-8","(773) 535-0530","https://carnegie.cps.edu","https://carnegie.cps.edu/contact.html","True","True","7:30 a.m.","Carnegie School","""Carnegie School’s Before & After School Program is a tuition-based program that is offered to students from grades K-8th. The program runs Monday-Friday •Mornings 7:30 a.m. to 8:30 a.m."" <a href=""https://carnegie.cps.edu/Classrooms23-24/k/23-24%20SY%20Kindergarten%20Parent%20Orientation%20presentation.pdf"">[1]</a>
","6:00 p.m.","Carnegie School","""Carnegie School’s Before & After School Program is a tuition-based program that is offered to students from grades K-8th. The program runs Monday-Friday •After School 3:45 p.m. - 6:00 p.m."" <a href=""https://carnegie.cps.edu/Classrooms23-24/k/23-24%20SY%20Kindergarten%20Parent%20Orientation%20presentation.pdf"">[1]</a>
""Carnegie’s OST After-School Programs began on Monday, October 2, 2023 through Thursday, December 14, 2023."" <a href=""https://carnegie.cps.edu/LSC23-24/Principal's%20Report%20November%202023.pdf"">[2]</a>
""Carnegie’s OST After-School Programs will end on Thursday, March 14. The next after school programs will begin on Monday, April 8, 2024 through Thursday, May 23, 2024."" <a href=""https://carnegie.cps.edu/LSC23-24/Principal's%20Report%20March%2012%202024.pdf"">[3]</a>
","41.783376"," -87.590801"
"CARROLL","2929 W 83RD ST","Ashburn","08:45 AM-03:45 PM","8:30 AM","3:45 PM - 6:00 PM","PK-8","(773) 535-9414","https://carroll-rosenwald.cps.edu","https://carroll-rosenwald.cps.edu/apps/contact","","","","","","","","","41.742524"," -87.696018"
"CARSON","5516 S MAPLEWOOD AVE","Gage Park","07:45 AM-02:45 PM","7:30 AM","02:45 PM - 05:45 PM","PK-8","(773) 535-9222","https://carson.cps.edu","https://carson.cps.edu/apps/contact","True","True","7:30 AM","","""Earliest Drop Off | 7:30 AM | — | —"" <a href=""https://www.carson.cps.edu/apps/bell_schedules/"">[1]</a>
","5:45 PM","","""After School Hours | 2:45 PM | 5:45 PM | 180 min"" <a href=""https://www.carson.cps.edu/apps/bell_schedules/"">[1]</a>
","41.79328"," -87.687805"
"CARTER","5740 S MICHIGAN AVE","Washington Park","08:45 AM-03:45 PM","8:20 AM","3:45 PM -5:30 PM","PK-8","(773) 535-0860","https://cartersoe.cps.edu","https://cartersoe.cps.edu/apps/contact","","","","","","","","","41.789836"," -87.622458"
"CARVER G","901 E 133RD PL","Riverdale","08:00 AM-03:00 PM","7:45 AM","","PK-8","(773) 535-5674","https://gwcarver.cps.edu","https://gwcarver.cps.edu/apps/contact","","True","","","","","","""Our Winter After School programing will start on January 22, 2024."" <a href=""https://www.gwcarver.cps.edu/apps/news/index.jsp?id=0"">[1]</a>
""Our Winter After School programing will start on January 22, 2024."" <a href=""https://www.gwcarver.cps.edu/apps/news/"">[2]</a>
","41.65371"," -87.599521"
"CASALS","3501 W POTOMAC AVE","Humboldt Park","07:45 AM-02:45 PM","","","PK-8","(773) 534-4444","https://www.casalssoe.org/","https://www.casalssoe.org/apps/contact","","","","","","","","","41.904511"," -87.714239"
"CASSELL","11314 S SPAULDING AVE","Mount Greenwood","08:00 AM-03:00 PM","7:40 AM","","K-8","(773) 535-2640","https://cassell.cps.edu","https://cassell.cps.edu/contact.html","","","","","","","","","41.687355"," -87.703221"
